station_id,station_name,latitude,longitude,datetime_local,variable,value,unit,timestamp_utc_extraction
0PU35,SAN VITO DEI NORMANNI,40.629166,17.73361,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144255
0PU35,SAN VITO DEI NORMANNI,40.629166,17.73361,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235484
0PU35,SAN VITO DEI NORMANNI,40.629166,17.73361,2026-05-21 05:00:00,tair_hourly,16.9,°C,2026-05-21T08:05:02.583155
0PU35,SAN VITO DEI NORMANNI,40.629166,17.73361,2026-05-21 05:00:00,ws_10m_hourly,5.1,m/s,2026-05-21T08:05:11.831980
0PU35,SAN VITO DEI NORMANNI,40.629166,17.73361,2026-05-21 05:00:00,ws_2m_hourly,3.0,m/s,2026-05-21T08:05:11.831977
0PU36,VILLANOVA,41.654167,15.586667,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144317
0PU36,VILLANOVA,41.654167,15.586667,2026-05-21 05:00:00,rh_hourly,73.0,%,2026-05-21T08:05:03.965205
0PU36,VILLANOVA,41.654167,15.586667,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235498
0PU36,VILLANOVA,41.654167,15.586667,2026-05-21 05:00:00,tair_hourly,18.3,°C,2026-05-21T08:05:02.583170
0PU36,VILLANOVA,41.654167,15.586667,2026-05-21 05:00:00,ws_10m_hourly,9.4,m/s,2026-05-21T08:05:11.832105
0PU36,VILLANOVA,41.654167,15.586667,2026-05-21 05:00:00,ws_2m_hourly,4.7,m/s,2026-05-21T08:05:11.832102
0PU37,TROIA,41.336388,15.382778,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144380
0PU37,TROIA,41.336388,15.382778,2026-05-21 05:00:00,rh_hourly,63.0,%,2026-05-21T08:05:03.965220
0PU37,TROIA,41.336388,15.382778,2026-05-21 05:00:00,rs_hourly,0.1,W/m²,2026-05-21T08:05:09.235510
0PU37,TROIA,41.336388,15.382778,2026-05-21 05:00:00,tair_hourly,14.5,°C,2026-05-21T08:05:02.583182
0PU37,TROIA,41.336388,15.382778,2026-05-21 05:00:00,ws_10m_hourly,5.4,m/s,2026-05-21T08:05:11.832235
0PU37,TROIA,41.336388,15.382778,2026-05-21 05:00:00,ws_2m_hourly,3.5,m/s,2026-05-21T08:05:11.832232
0PU38,BORGO LA ROCCA,41.558334,15.516111,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144443
0PU38,BORGO LA ROCCA,41.558334,15.516111,2026-05-21 05:00:00,rh_hourly,67.0,%,2026-05-21T08:05:03.965233
0PU38,BORGO LA ROCCA,41.558334,15.516111,2026-05-21 05:00:00,rs_hourly,3.0,W/m²,2026-05-21T08:05:09.235522
0PU38,BORGO LA ROCCA,41.558334,15.516111,2026-05-21 05:00:00,tair_hourly,15.7,°C,2026-05-21T08:05:02.583194
0PU38,BORGO LA ROCCA,41.558334,15.516111,2026-05-21 05:00:00,ws_10m_hourly,3.5,m/s,2026-05-21T08:05:11.832368
0PU38,BORGO LA ROCCA,41.558334,15.516111,2026-05-21 05:00:00,ws_2m_hourly,1.8,m/s,2026-05-21T08:05:11.832366
0PU40,ARCHE,40.273888,18.013611,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144522
0PU40,ARCHE,40.273888,18.013611,2026-05-21 05:00:00,rh_hourly,67.0,%,2026-05-21T08:05:03.965246
0PU40,ARCHE,40.273888,18.013611,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235539
0PU40,ARCHE,40.273888,18.013611,2026-05-21 05:00:00,tair_hourly,16.9,°C,2026-05-21T08:05:02.583208
0PU40,ARCHE,40.273888,18.013611,2026-05-21 05:00:00,ws_10m_hourly,5.2,m/s,2026-05-21T08:05:11.832506
0PU40,ARCHE,40.273888,18.013611,2026-05-21 05:00:00,ws_2m_hourly,1.9,m/s,2026-05-21T08:05:11.832503
0PU41,LECCE,40.326668,18.139999,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144587
0PU41,LECCE,40.326668,18.139999,2026-05-21 05:00:00,rh_hourly,71.0,%,2026-05-21T08:05:03.965259
0PU41,LECCE,40.326668,18.139999,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235551
0PU41,LECCE,40.326668,18.139999,2026-05-21 05:00:00,tair_hourly,16.8,°C,2026-05-21T08:05:02.583220
0PU41,LECCE,40.326668,18.139999,2026-05-21 05:00:00,ws_10m_hourly,3.0,m/s,2026-05-21T08:05:11.832642
0PU41,LECCE,40.326668,18.139999,2026-05-21 05:00:00,ws_2m_hourly,1.9,m/s,2026-05-21T08:05:11.832639
0PU42,SALICE SALENTINO,40.390556,17.875278,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144653
0PU42,SALICE SALENTINO,40.390556,17.875278,2026-05-21 05:00:00,rh_hourly,70.0,%,2026-05-21T08:05:03.965278
0PU42,SALICE SALENTINO,40.390556,17.875278,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235564
0PU42,SALICE SALENTINO,40.390556,17.875278,2026-05-21 05:00:00,tair_hourly,16.5,°C,2026-05-21T08:05:02.583232
0PU42,SALICE SALENTINO,40.390556,17.875278,2026-05-21 05:00:00,ws_10m_hourly,5.2,m/s,2026-05-21T08:05:11.832778
0PU42,SALICE SALENTINO,40.390556,17.875278,2026-05-21 05:00:00,ws_2m_hourly,3.2,m/s,2026-05-21T08:05:11.832775
0PU43,LUCUGNANO,39.930279,18.3225,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.144717
0PU43,LUCUGNANO,39.930279,18.3225,2026-05-21 05:00:00,rh_hourly,79.0,%,2026-05-21T08:05:03.965290
0PU43,LUCUGNANO,39.930279,18.3225,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235576
0PU43,LUCUGNANO,39.930279,18.3225,2026-05-21 05:00:00,tair_hourly,14.7,°C,2026-05-21T08:05:02.583248
0PU43,LUCUGNANO,39.930279,18.3225,2026-05-21 05:00:00,ws_10m_hourly,2.1,m/s,2026-05-21T08:05:11.832910
